source_id,page,category,requirement_id,architecture_component,database_entity_step1,service,agent,event,api,test,implementation_status,canonical_component,architecture_document,adr_id,architecture_status,implementation_phase,database_domain,database_entity,contract,schema,data_policy,ingestion_component,ingestion_entity,implementation_reference,test_reference,step3_implementation_status
SRC-000073,26,SOURCE_WORKFLOW,,Master Prompt v2 / IECHM-OS,,,,,,,not_started,Canonical Architecture,canonical-architecture.md;manufacturing-boundary.md,,COMPOSITE_MAPPING,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_YET_IMPLEMENTED (out of Step 3 ingestion scope)
SRC-000074,27,SOURCE_FORMULA,REQ-000022,Pricing Engine,,,,,,,not_started,Economic Model,economic-model.md;conflicts/CONFLICT-001.md,,HISTORICAL_ONLY,N/A,ECONOMICS,formula (FORMULA-001),N/A,N/A,MUST_PRESERVE,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System B / analytics, out of Step 3 scope)"
SRC-000075,27,SOURCE_WORKFLOW,REQ-000015,Agent Hierarchy,,,Central Director,,,,not_started,Agent Topology,agent-topology.md,,DIRECT_MAPPING,9,AGENT,agent (Central Director),agent.md,N/A,MUST_PRESERVE,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (out of Step 3 scope -- deterministic ingestion only, Section 58)"
SRC-000076,28,SOURCE_WORKFLOW,,Hardware API Bridge (System C),,,,EVENT_CONTRACT_SIGNED,,,not_started,Manufacturing Boundary,manufacturing-boundary.md;api-boundaries.md,,HISTORICAL_ONLY,N/A,N/A,N/A (System B/C event),event.md,event-envelope.v1.schema.json,N/A (System B/C),N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System C / intelligence classification, out of Step 3 scope)"
SRC-000077,28,SOURCE_FORMULA,,Resilience Plane,,,,,,,not_started,Hallucination Detection,hallucination-detection.md,,DIRECT_MAPPING (SOURCE_INCOMPLETE),11,SENTINEL,formula (FORMULA-002; SOURCE_INCOMPLETE),N/A,N/A,MUST_PRESERVE (as incomplete),N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (out of Step 3 scope -- deterministic ingestion only, Section 58)"
SRC-000078,28,SOURCE_THRESHOLD,REQ-000020,Resilience Plane,,,Hot-Swap Engine,CEASE_OPERATIONS,,,not_started,Hot-Swap,hot-swap.md;events.md,,DIRECT_MAPPING,12,AGENT;AUDIT,agent_state;event (CEASE_OPERATIONS),agent.md;event.md,event-envelope.v1.schema.json,MUST_PRESERVE,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (out of Step 3 scope -- deterministic ingestion only, Section 58)"
SRC-000079,28,SOURCE_THRESHOLD,REQ-000021,Resilience Plane,,,Telemetry Optimizer,CHANNEL_DATA_SATURATED_IDLE_ACTIVE,,,not_started,Metric Evolution,metric-evolution.md;events.md,ADR-0005,DIRECT_MAPPING,13,METRIC,metric_definition;event,metric.md;event.md,event-envelope.v1.schema.json,MUST_PRESERVE,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (System B / analytics, out of Step 3 scope)"
SRC-000080,29,SOURCE_SCHEMA,REQ-000014,,Lead Entity (v2/SCHEMA-005),,,,,,not_started,Data Domains (LEAD),schema-versioning.md,ADR-0004,DIRECT_MAPPING,2,LEAD,lead_version (schema_id=SCHEMA-005);schema_registry,lead.md,lead.v1.schema.json,MUST_PRESERVE,Ingestion Engine (lead-candidate observation),Observation,src/observations/models.py;src/ingestion/lead_candidate.py;src/schemas/detection.py,tests/ingestion/test_engine_pipeline.py;tests/observations/test_normalizer.py,PARTIAL -- CANONICAL_LEAD_SCHEMA_DEFERRED (Step 3 Section 23)
SRC-000081,29,SOURCE_CONSTRAINT,,Runtime Rules,,,,,,,not_started,Economic Model+Sentinel Plane,economic-model.md;sentinel-plane.md,,COMPOSITE_MAPPING,11,ECONOMICS;SENTINEL,formula;configuration,configuration.md,N/A,MUST_PRESERVE,N/A,N/A,N/A,N/A,"NOT_YET_IMPLEMENTED (out of Step 3 scope -- deterministic ingestion only, Section 58)"
SRC-000082,29,SOURCE_SCHEMA,REQ-000023,,Telemetry Contract (v2/SCHEMA-006),,,,FAILOVER_HOTSWAP_DISPATCHED,,not_started,Hot-Swap,hot-swap.md;events.md,ADR-0004,DIRECT_MAPPING,12,AUDIT,event (event_type=FAILOVER_HOTSWAP_DISPATCHED);schema_registry,event.md,event-envelope.v1.schema.json,MUST_PRESERVE,Event Log,Event,src/common/events.py,tests/ingestion/test_idempotency_and_failures.py,PARTIAL -- generic immutable EventLog implemented; the specific CEASE_OPERATIONS/hot-swap semantics are not (Sentinel Plane out of Step 3 scope)
